"unitid","institution name","year","DRVGR2013.Graduation rate, total cohort","DRVIC2013.Percent admitted - total","DRVIC2013.Admissions yield - total","DRVIC2013.Tuition and fees, 2013-14","DRVIC2013.Total price for in-state students living on campus 2013-14","DRVIC2013.Total price for out-of-state students living on campus 2013-14","DRVEF2013.Total  enrollment","DRVEF2013.Undergraduate enrollment","DRVEF2013.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2013.Percent of total enrollment that are Asian","DRVEF2013.Percent of total enrollment that are Black or African American","DRVEF2013.Percent of total enrollment that are Hispanic/Latino","DRVEF2013.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2013.Percent of total enrollment that are White","EF2013D.Student-to-faculty ratio","EF2013D.Full-time retention rate, 2013","SFA1213.Percent of full-time first-time undergraduates receiving any financial aid","SFA1213.Average amount of federal, state, local or institutional grant aid received","SFA1213.Average amount of student loan aid received by full-time first-time undergraduates","SFA1213.Average net price-students receiving grant or scholarship aid, 2012-13","SFA1213.Average net price (income 0-30,000)-students receiving Title IV Federal financial aid,2012-13","SFA1213.Average net price-students receiving grant or scholarship aid, 2012-13","SFA1213.Average net price (income 0-30,000)-students receiving Title IV Federal financial aid, 2012-13","IC2013.SAT Critical Reading 25th percentile score","IC2013.SAT Critical Reading 75th percentile score","IC2013.SAT Math 25th percentile score","IC2013.SAT Math 75th percentile score","IC2013.SAT Writing 25th percentile score","IC2013.SAT Writing 75th percentile score","IC2013.ACT Composite 25th percentile score","IC2013.ACT Composite 75th percentile score"
"108232","Academy of Art University","2013","32",,,"19130","37828","37828","16001","10508","0","7","6","8","0","25","16","71","62","7319","7055",,,"26905","28224",,,,,,,,
"108250","ITT Technical Institute-Rancho Cordova","2013","42","38","29","18048",,,"510","510","2","6","11","10","1","51","17",,"84","4536","9576",,,"22225","21107",,,,,,,,
"109651","Art Center College of Design","2013","64","82","42","36480",,,"1985","1767","0","32","1","10","1","22","9","80","61","13748","7275",,,"43055","40082",,,,,,,,
"110185","Brooks Institute","2013","37","98","25","20120",,,"518","492","0","1","1","6","0","14","9","77","79","6190","8567",,,"26833","26746",,,,,,,,
"110316","California Institute of Integral Studies","2013",,,,,,,"1271","75","0","5","5","10","0","62","15",,,,,,,,,,,,,,,,
"110370","California College of the Arts","2013","62","82","20","40334","56134","56134","1949","1502","0","15","4","13","1","34","9","82","79","18696","7285",,,"35127","25131",,,,,,,,
"110404","California Institute of Technology","2013","93","11","43","41538","58755","58755","2181","977","0","26","1","7","0","35","3","97","73","32074","5537",,,"24308","9110","720","800","770","800","720","790","33","35"
"110422","California Polytechnic State University-San Luis Obispo","2013","70","31","32","8724","24285","35445","19703","18739","0","11","1","15","0","60","21","92","50","6583","5843","17365","9938",,,"550","650","590","690",,,"25","30"
"110468","Alliant International University","2013",,"49","44","15816","29986","29986","4201","917","0","6","6","20","0","40","13","75","75","9933","8933",,,"18968","19768",,,,,,,,
"110486","California State University-Bakersfield","2013","39","66","30","6775","21186","32346","8371","7350","1","6","6","47","0","21","24","74","81","10070","4647","8117","6299",,,"390","500","400","520",,,"15","22"
"110495","California State University-Stanislaus","2013","52","72","27","6491","22433","33593","8917","7754","0","11","3","44","1","29","21","87","82","10006","4838","7190","4711",,,"400","510","410","520",,,"16","22"
"110510","California State University-San Bernardino","2013","41","58","34","6550","20377","31537","18398","16191","0","6","7","52","0","19","27","89","85","10675","4811","6571","4967",,,"390","490","400","510",,,"16","20"
"110529","California State Polytechnic University-Pomona","2013","52","52","21","6350","22571","33731","22501","20952","0","24","3","36","0","22","28","90","68","8918","5836","10693","7599",,,"460","570","490","620",,,"20","26"
"110538","California State University-Chico","2013","56","72","22","6972","22362","33522","16356","15290","1","6","2","22","0","52","24","87","63","9884","5113","12836","9956",,,"450","550","460","570",,,"19","24"
"110547","California State University-Dominguez Hills","2013","29","57","14","6100","21286","32446","14670","12481","0","10","16","50","0","12","23","79","88","10263","4636","2791","1592",,,"380","470","380","470",,,"15","19"
"110556","California State University-Fresno","2013","49","58","33","6287","20682","31842","23060","20295","0","15","4","41","0","26","22","83","80","10046","4965","6228","4281",,,"400","510","410","530",,,"16","22"
"110565","California State University-Fullerton","2013","53","46","25","6186","23505","34665","38325","33116","0","21","2","35","0","27","24","89","66","9583","5450","6885","4449",,,"450","550","470","580",,,"19","24"
"110574","California State University-East Bay","2013","38","69","18","6550","22312","33472","14526","12146","0","23","10","23","1","20","25","78","75","9537","5630","11230","8800",,,"400","500","400","520",,,"16","22"
"110583","California State University-Long Beach","2013","60","31","25","6240","22106","33266","35586","30593","1","22","4","35","0","22","22","89","71","9931","5368","8169","6048",,,"440","550","460","590",,,"18","24"
"110592","California State University-Los Angeles","2013","36","68","16","6344","21705","32865","23258","19589","0","16","5","56","0","10","24","82","82","9979","4057","4756","3207",,,"380","480","390","510",,,"15","20"
"110608","California State University-Northridge","2013","46","46","31","6525","21669","32829","38310","33771","0","11","6","38","0","27","24","78","74","10747","4855","10500","8779",,,"400","510","400","530",,,"16","22"
"110617","California State University-Sacramento","2013","43","70","23","6628","23209","34369","28811","26094","0","20","6","25","1","33","26","83","79","10364","5488","9006","6971",,,"410","520","430","540",,,"17","22"
"110635","University of California-Berkeley","2013","91","18","37","12864","33319","56197","36198","25951","0","30","2","12","0","31","17","96","69","16619","5839","16614","8506",,,"590","720","630","770","620","750","27","33"
"110644","University of California-Davis","2013","81","45","23","13895","33066","55944","33307","26533","0","31","2","16","0","34","17","93","77","16410","5574","15641","9573",,,"510","640","560","680","530","650","23","29"
"110653","University of California-Irvine","2013","86","42","21","13149","30504","53382","28895","23530","0","39","2","19","0","21","19","92","77","17214","5357","11569","8096",,,"460","600","530","670","490","620","21","27"
"110662","University of California-Los Angeles","2013","90","22","35","12697","32416","55294","40795","28674","0","28","3","16","0","32","16","96","62","17703","6214","13686","8883",,,"560","680","600","760","590","710","25","31"
"110671","University of California-Riverside","2013","66","62","21","12960","32238","55116","21207","18621","0","33","5","33","0","17","19","89","86","18714","5101","11351","7651",,,"470","580","500","630","480","590","20","25"
"110680","University of California-San Diego","2013","86","38","20","13271","30470","53348","29517","23805","0","35","1","14","0","27","19","94","62","15654","5611","14329","8861",,,"550","660","620","730","580","690","25","31"
"110705","University of California-Santa Barbara","2013","81","44","19","13746","34051","56929","22225","19362","0","16","2","23","0","41","17","92","70","18022","6027","13991","9546",,,"530","650","560","690","550","660","24","29"
"110714","University of California-Santa Cruz","2013","73","60","19","13397","33153","56031","17203","15695","0","19","2","29","0","38","18","89","80","19569","5708","13748","9989",,,"470","610","490","620","470","610","20","26"
"111081","California Institute of the Arts","2013","57","30","47","40536","58296","58296","1489","995","1","9","6","10","1","43","7","85","69","13684","9735",,,"42794","36643",,,,,,,,
"111188","California Maritime Academy","2013","59","75","30","6536","21102","32262","1045","1045","0","8","2","16","1","58","14","82","68","7923","6509","14300","11371",,,"470","580","490","610",,,"21","26"
"111966","Charles R Drew University of Medicine and Science","2013",,"89","75","11956",,,"515","85","0","20","31","13","3","5","7","100","100","4200",,,,"22741",,"348","405","333","383","385","445",,
"112260","Claremont McKenna College","2013","93","12","52","45625","62010","62010","1328","1316","0","11","4","11","0","44","9","96","53","35693","8446",,,"24372","11104","650","740","670","760","660","750","29","33"
"112394","Cogswell College","2013","31","78","68","16160","31860","31860","472","462","0","12","3","14","3","43","10","80","100","8764","7267",,,"23030","19885",,,,,,,,
"112446","Coleman University","2013","51","100","73","20200",,,"833","532","0","9","6","12","1","34","7",,"90","5698","7365",,,"20576","26043",,,,,,,,
"112570","Columbia College-Hollywood","2013","49","55","48","18804","34424","34424","314","314","0","6","18","18","0","47","11","64","72","6637","7785",,,"22738","23237",,,,,,,,
"113582","Design Institute of San Diego","2013","67",,,"20470",,,"181","181","0","6","4","13","0","67","12","63","75","7455","7564",,,"22745","23764",,,,,,,,
"113698","Dominican University of California","2013","54","78","17","40600","58860","58860","2147","1603","1","14","4","19","1","38","10","86","98","23353","11424",,,"32734","26060","480","570","480","590","480","580","20","25"
"114354","Fashion Institute of Design & Merchandising-Los Angeles","2013","62","57","65","28920",,,"3459","3459","0","12","6","23","1","34","23","93","73","6846","8211",,,"36040","35423",,,,,,,,
"114390","Fashion Institute of Design & Merchandising-San Francisco","2013","62","64","67","28920",,,"637","637","1","18","5","22","2","38","24","100","88","7471","8280",,,"35166","33247",,,,,,,,
"115083","Golden Gate University-San Francisco","2013",,,,"14400",,,"3227","475","0","18","6","10","1","31","14",,,,,,,,,,,,,,,,
"115409","Harvey Mudd College","2013","91","18","34","46509","63860","63860","807","807","0","22","1","9","0","47","8","99","75","29814","5476",,,"30799","7080","680","760","720","800","670","760","32","35"
"115755","Humboldt State University","2013","40","80","15","7144","22556","33716","8293","7767","1","3","4","26","0","51","21","78","74","9873","5787","13193","10579",,,"450","580","440","560",,,"18","24"
"115773","Humphreys College-Stockton and Modesto Campuses","2013","93",,,"11277",,,"990","757","1","8","15","41","0","29","22","69","73","7075","5109",,,"14544","14280",,,,,,,,
"116226","Interior Designers Institute","2013",,,,,,,"296","295","1","13","1","13","0","66","15",,,,,,,,,,,,,,,,
"116466","ITT Technical Institute-National City","2013","27","93","47","18048",,,"1209","1209","1","14","18","31","1","26","36",,"82","4148","8526",,,"22953","22582",,,,,,,,
"116475","ITT Technical Institute-San Dimas","2013","39","96","41","18048",,,"534","534","0","6","7","55","1","23","24",,"96","5178","9451",,,"21213","20403",,,,,,,,
"116484","ITT Technical Institute-Orange","2013","37","91","37","18048",,,"823","823","1","10","6","49","1","29","33",,"88","4149","8664",,,"22097","21141",,,,,,,,
"116712","John F Kennedy University","2013",,,,,,,"1356","279","2","10","11","6","1","54","4",,,,,,,,,,,,,,,,
"117113","The Art Institute of California-Argosy University San Diego","2013","43",,,"18748","36211","36211","1869","1869","0","1","1","33","0","2","24","62","90","6030","8538",,,"24642","23595",,,,,,,,
"117140","University of La Verne","2013","59","39","23","35000","51997","51997","8796","5216","0","5","6","40","0","25","17","88","97","23466","6937",,,"21720","16128","460","550","470","580","460","560","20","25"
"117168","Laguna College of Art and Design","2013","63","43","32","26500","43238","43238","544","514","1","17","2","15","1","46","12","84","100","10685","6749",,,"29380","34916",,,,,,,,
"117557","Lincoln University","2013","76",,,"10105",,,"492","116","0","5","2","1","0","10","36","73","22","5148","7000",,,"15577","15577",,,,,,,,
"117928","The Art Institute of California-Argosy University San Francisco","2013","36",,,"18748","35119","35119","1317","1304","0","6","4","30","1","12","15","55","93","6571","8339",,,"26878","26647",,,,,,,,
"118693","Menlo College","2013","41","37","9","37100","53834","53834","745","745","0","7","6","21","2","36","15","82","98","22144","7352",,,"29307","21734","432","532","450","565","425","513","19","25"
"118888","Mills College","2013","61","68","17","41494","56812","56812","1595","985","1","10","8","18","1","48","10","81","100","27716","7444",,,"26773","19288","540","640","500","610","520","620","23","28"
"119058","Monterey Institute of International Studies","2013",,,,,,,"731","22","0","6","1","8","0","45","1",,,,,,,,,,,,,,,,
"119270","Musicians Institute","2013","54","99","53","23985",,,"1204","1204","1","3","8","14","0","31","6","56","78","5075","7509",,,"34573","33592",,,,,,,,
"119544","The National Hispanic University","2013","46",,,"8196",,,"813","509","1","1","2","34","0","13","8","60","98","6015","5538",,,"17171","16334",,,,,,,,
"119605","National University","2013","31",,,"12096",,,"18207","10074","1","9","11","24","1","43","22","77","41","2969","10497",,,"21142","21407",,,,,,,,
"119775","Newschool of Architecture and Design","2013","35","79","45","24536",,,"514","375","0","9","4","29","0","30","9","50","94","8617","5127",,,"36617","31693",,,,,,,,
"120166","Northwestern Polytechnic University","2013","48",,,"8300",,,"988","183","0","14","0","0","0","1","29","83","2","1000",,,,"11820",,,,,,,,,
"120254","Occidental College","2013","88","42","21","46652","63363","63363","2128","2128","0","13","4","16","0","51","10","93","69","30929","7418",,,"29726","15635","600","700","610","700","610","700","27","31"
"120403","Otis College of Art and Design","2013","57","46","22","39430","55430","55430","1086","1032","1","31","4","13","0","23","5","81","91","18443","6730",,,"34347","26972","430","550","430","580",,,"19","25"
"120698","Palo Alto University","2013",,,,,,,"948","191","0","16","4","13","0","48","16",,,,,,,,,,,,,,,,
"120768","Pacific Oaks College","2013",,,,,,,"1072","415","1","4","13","44","1","28","10",,,,,,,,,,,,,,,,
"120838","Pacific States University","2013","100",,,"19340","37540","37540","173","14","0","7","0","0","0","1","12","0","100","1387","1500",,,"30753","30753",,,,,,,,
"120883","University of the Pacific","2013","57","73","9","39810","57033","57033","6421","3877","1","32","3","15","0","36","14","87","91","19619","5867",,,"33437","21617","500","640","530","680","500","640","22","29"
"121257","Pitzer College","2013","82","15","44","45018","61416","61416","1081","1081","0","6","5","15","0","49","12","91","41","36127","5257",,,"23139","11907",,,,,,,,
"121275","Platt College-San Diego","2013","73",,,"23250",,,"370","370","1","9","11","25","0","38","20",,"81","5609","11342",,,"35580","35081",,,,,,,,
"121345","Pomona College","2013","96","14","40","43580","59730","59730","1610","1610","0","12","6","15","0","44","7","97","68","39595","5072",,,"17419","4712","690","760","690","780","690","780","31","34"
"121381","Westwood College-South Bay","2013","60",,,"15122",,,"571","571","1","4","20","19","2","8","22","55","100","4923","13126",,,"24862","24954",,,,,,,,
"121691","University of Redlands","2013","73","67","21","41290","58559","58559","5147","3607","1","6","7","27","1","46","14","88","94","26852","7511",,,"28164","19403","510","610","520","620",,,"23","27"
"121983","Argosy University-San Francisco Bay Area","2013",,,,"13663",,,"559","171","1","10","34","17","3","33","4","75","100","4098","8429",,,"23227","22690",,,,,,,,
"122296","Samuel Merritt University","2013",,,,,,,"1542","589","0","27","4","12","1","44","9",,,,,,,,,,,,,,,,
"122409","San Diego State University","2013","66","31","26","6766","25068","36228","31899","27099","0","13","4","28","0","38","25","88","62","10024","5796","9856","6298",,,"480","590","500","610",,,"21","26"
"122454","San Francisco Art Institute","2013","29","83","21","38406","57932","57932","680","478","1","5","1","14","0","47","11","65","90","15149","5027",,,"40784","40793","480","600","450","560","470","600","22","27"
"122506","San Francisco Conservatory of Music","2013","69","40","28","39580",,,"399","174","0","6","2","3","0","37","6","86","100","19350","6441",,,"32910","21831",,,,,,,,
"122597","San Francisco State University","2013","45","64","19","6450","23828","34988","29905","26156","0","27","5","23","1","26","22","82","70","10220","5551","11654","9900",,,"430","550","450","560",,,"19","24"
"122755","San Jose State University","2013","48","63","21","7343","23629","34789","31278","25862","0","32","3","22","1","24","22","88","60","9757","5244","11138","9571",,,"440","550","470","600",,,"19","25"
"122834","Santa Barbara Business College-Bakersfield","2013","67",,,"12464",,,"543","543","1","2","5","76","1","14","14","69","94","5991","7191",,,"17057","16981",,,,,,,,
"122843","Westwood College-Los Angeles","2013","35",,,"15080",,,"672","661","0","5","11","17","0","9","15","50","99","5152","13326",,,"24538","24746",,,,,,,,
"122852","Santa Barbara Business College-Santa Maria","2013","76",,,"12464",,,"188","188","0","2","1","76","2","18","14","50","97","5340","10022",,,"16447","16038",,,,,,,,
"123165","Scripps College","2013","84","36","32","45564","61370","61370","1009","990","0","17","3","8","0","50","10","93","61","30707","4925",,,"28181","22193","640","733","640","720","660","750","29","32"
"123572","Sonoma State University","2013","54","82","16","7234","23295","34455","9120","8391","1","4","2","23","0","55","24","84","62","9087","5798","14396","10818",,,"450","550","450","560",,,"19","24"
"123633","South Baylo University","2013",,,,,,,"647","125","0","47","2","2","1","12","16",,,,,,,,,,,,,,,,
"123952","Southern California Institute of Architecture","2013","50","87","21","37300",,,"493","237","0","16","1","13","0","24","15","94","58","13704","7172",,,"38483","40005","430","588","590","708","433","575","19","23"
"123961","University of Southern California","2013","91","20","31","46298","62180","62180","41368","18445","0","19","5","12","0","34","9","96","67","29928","6895",,,"29889","16403","620","720","660","760","640","750","29","33"
